Timestamp,Days_Since_Start,Battery_Level,Battery_Health,Signal_Strength,Power_Consumption_Rate,Component_Health,CPU_GPU_Usage,Solar_Panel_Efficiency,Temperature,Data_Storage_Used,Debris_Risk_Level,Reroute power to core functions,Adjust orientation for passive cooling,"Recalibrate position, tweak pitch, roll, yaw",Initiate Docking sequence to ISS,Increase cooling system power,Adjust antenna position or switch frequency,Optimize data transmission,Delete unnecessary data,"Adjust pitch, yaw, roll for sunlight absorption",Disable non-essential systems,"Redistribute workload, reduce power to affected components",Recommended_Actions
2024-01-01 00:17:19.363557,0,37.45,49.89,73.0,63.81,57.93,84.72,74.16,-24.88,81.82,8.77,1,1,1,0,0,0,0,0,0,0,0,"['Reroute power to core functions', 'Adjust orientation for passive cooling', 'Recalibrate position, tweak pitch, roll, yaw']"
2024-01-01 01:07:49.766586,0,95.07,46.63,18.45,45.93,45.69,49.45,88.11,69.42,14.53,9.07,0,0,1,1,1,1,0,0,0,0,0,"['Initiate Docking sequence to ISS', 'Increase cooling system power', 'Adjust antenna position or switch frequency', 'Recalibrate position, tweak pitch, roll, yaw']"
2024-01-01 01:27:33.045856,0,73.2,34.09,34.66,96.45,47.58,19.55,46.32,-0.08,94.65,3.78,0,0,0,1,0,0,1,1,0,0,0,"['Initiate Docking sequence to ISS', 'Optimize data transmission', 'Delete unnecessary data']"
2024-01-01 03:09:28.057255,0,59.87,68.58,66.33,21.9,50.84,73.66,28.92,4.07,84.32,2.32,0,0,0,0,0,0,0,0,1,0,0,"['Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-01 03:12:57.425315,0,15.6,58.13,48.21,58.79,52.22,41.87,31.88,-2.85,91.89,1.92,1,0,0,0,0,0,1,1,1,1,0,"['Disable non-essential systems', 'Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption', 'Optimize data transmission', 'Delete unnecessary data']"
2024-01-01 06:07:08.847451,0,15.6,89.26,73.86,70.02,54.54,59.46,69.69,70.81,28.56,8.82,1,0,1,0,1,0,0,0,0,1,0,"['Disable non-essential systems', 'Reroute power to core functions', 'Increase cooling system power', 'Recalibrate position, tweak pitch, roll, yaw']"
2024-01-01 07:16:31.288649,0,5.81,22.57,96.12,82.56,55.33,10.73,56.76,87.47,33.56,2.31,1,1,0,1,1,0,0,0,0,1,0,"['Initiate Docking sequence to ISS', 'Disable non-essential systems', 'Reroute power to core functions', 'Increase cooling system power', 'Adjust orientation for passive cooling']"
2024-01-01 09:50:16.236631,0,86.62,71.51,11.65,40.7,67.34,63.16,48.65,60.62,46.99,5.31,0,0,0,0,1,1,0,0,0,0,0,"['Increase cooling system power', 'Adjust antenna position or switch frequency']"
2024-01-01 10:09:52.778295,0,60.11,81.04,70.96,68.69,70.57,37.36,20.28,68.83,22.42,3.32,0,0,0,0,1,0,0,0,1,0,0,"['Increase cooling system power', 'Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-01 10:22:41.802852,0,70.81,80.76,23.03,30.32,58.53,33.42,87.55,44.46,46.54,4.99,0,0,0,0,0,1,0,0,0,0,0,['Adjust antenna position or switch frequency']
2024-01-01 10:30:19.474101,0,2.06,90.89,41.45,43.55,94.44,97.99,78.1,33.45,0.92,3.46,1,0,0,0,0,0,0,0,0,1,1,"['Disable non-essential systems', 'Reroute power to core functions', 'Redistribute workload, reduce power to affected components']"
2024-01-01 10:35:20.397884,0,96.99,78.32,3.29,89.56,73.19,43.24,14.06,56.59,87.75,2.93,0,0,0,0,0,1,1,1,1,0,0,"['Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency', 'Optimize data transmission', 'Delete unnecessary data']"
2024-01-01 10:53:38.932440,0,83.24,94.22,13.59,94.99,87.25,67.8,36.74,-25.71,16.23,4.27,0,1,0,0,0,1,0,0,1,0,0,"['Adjust orientation for passive cooling', 'Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency']"
2024-01-01 11:04:11.912554,0,21.23,46.61,31.98,71.88,95.45,62.77,54.21,-22.63,50.08,3.33,1,1,0,0,0,0,0,0,0,0,0,"['Reroute power to core functions', 'Adjust orientation for passive cooling']"
2024-01-01 12:03:40.635469,0,18.18,60.26,34.2,37.44,49.79,10.43,45.43,52.47,92.88,8.4,1,0,1,1,0,0,1,1,0,1,0,"['Initiate Docking sequence to ISS', 'Disable non-essential systems', 'Reroute power to core functions', 'Optimize data transmission', 'Delete unnecessary data', 'Recalibrate position, tweak pitch, roll, yaw']"
2024-01-01 12:06:24.779767,0,18.34,21.13,89.96,82.01,65.67,74.79,39.78,10.21,82.1,5.81,1,0,0,1,0,0,0,0,1,1,0,"['Initiate Docking sequence to ISS', 'Disable non-essential systems', 'Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-01 13:47:33.112070,0,30.42,20.56,74.18,2.59,65.99,32.32,71.88,28.66,77.61,1.76,1,0,0,1,0,0,0,0,0,0,0,"['Initiate Docking sequence to ISS', 'Reroute power to core functions']"
2024-01-01 14:13:04.804842,0,52.48,39.21,97.22,10.27,61.27,79.89,5.45,63.84,60.54,2.36,0,0,0,0,1,0,0,0,1,0,0,"['Increase cooling system power', 'Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-01 16:37:33.764674,0,43.19,28.06,59.91,66.14,40.53,60.76,47.14,39.26,43.63,0.54,0,0,0,1,0,0,0,0,0,0,0,['Initiate Docking sequence to ISS']
2024-01-01 17:43:42.359129,0,29.12,40.82,24.17,29.12,88.96,31.71,26.22,66.63,44.6,3.0,1,0,0,0,1,1,0,0,1,0,0,"['Reroute power to core functions', 'Increase cooling system power', 'Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency']"
2024-01-01 17:54:35.244535,0,61.19,34.16,32.77,95.14,46.69,35.63,8.46,20.3,8.7,6.7,0,0,0,1,0,0,0,0,1,0,0,"['Initiate Docking sequence to ISS', 'Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-01 22:51:31.028048,0,13.95,22.28,31.98,43.61,99.73,73.15,46.49,4.49,6.48,1.83,1,0,0,1,0,0,0,0,0,1,0,"['Initiate Docking sequence to ISS', 'Disable non-essential systems', 'Reroute power to core functions']"
2024-01-02 00:47:21.992943,1,29.21,92.74,32.65,42.94,86.38,55.01,17.14,-1.82,84.34,0.99,1,0,0,0,0,0,0,0,1,0,0,"['Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-02 01:58:04.717497,1,36.64,20.66,67.3,67.81,74.8,66.84,25.82,-14.2,40.87,3.21,1,0,0,1,0,0,0,0,1,0,0,"['Initiate Docking sequence to ISS', 'Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-02 01:58:48.992672,1,45.61,78.89,53.08,76.76,49.28,15.83,50.7,-25.58,5.4,6.13,0,1,0,1,0,0,0,0,0,0,0,"['Initiate Docking sequence to ISS', 'Adjust orientation for passive cooling']"
2024-01-02 02:06:15.010494,1,78.52,32.17,38.54,47.56,70.92,78.7,97.37,-23.62,66.31,4.73,0,1,0,0,0,0,0,0,0,0,0,['Adjust orientation for passive cooling']
2024-01-02 03:03:32.835212,1,19.97,92.98,14.91,21.4,55.67,32.04,68.43,2.52,68.33,3.32,1,0,0,0,0,1,0,0,0,1,0,"['Disable non-essential systems', 'Reroute power to core functions', 'Adjust antenna position or switch frequency']"
2024-01-02 04:14:08.120800,1,51.42,91.42,2.21,77.33,55.14,61.99,27.96,3.41,22.74,8.83,0,0,1,0,0,1,0,0,1,0,0,"['Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency', 'Recalibrate position, tweak pitch, roll, yaw']"
2024-01-02 04:26:00.554842,1,59.24,72.31,21.88,32.04,89.77,11.47,38.24,15.81,41.07,4.69,0,0,0,0,0,1,0,0,1,0,0,"['Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency']"
2024-01-02 05:05:09.143081,1,4.65,73.78,10.75,17.51,62.84,32.14,40.61,40.99,57.34,4.55,1,0,0,0,0,1,0,0,0,1,0,"['Disable non-essential systems', 'Reroute power to core functions', 'Adjust antenna position or switch frequency']"
2024-01-02 05:26:30.019312,1,60.75,20.43,78.54,63.16,67.04,64.89,15.36,61.12,59.63,0.32,0,0,0,1,1,0,0,0,1,0,0,"['Initiate Docking sequence to ISS', 'Increase cooling system power', 'Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-02 05:36:37.685368,1,17.05,98.79,11.25,9.05,90.58,27.42,16.07,-6.28,51.11,6.39,1,0,0,0,0,1,0,0,1,1,0,"['Disable non-essential systems', 'Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency']"
2024-01-02 05:42:29.471870,1,6.51,90.23,72.42,97.14,45.27,88.03,14.84,61.11,36.42,4.59,1,0,0,1,1,0,0,0,1,1,0,"['Initiate Docking sequence to ISS', 'Disable non-essential systems', 'Reroute power to core functions', 'Increase cooling system power', 'Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-02 06:37:09.414356,1,94.89,91.61,38.57,63.24,75.68,66.12,52.17,-13.32,6.88,1.45,0,0,0,0,0,0,0,0,0,0,0,[]
2024-01-02 07:54:18.620810,1,96.56,72.74,7.34,98.59,74.69,87.03,67.42,88.64,2.23,2.44,0,1,0,0,1,1,0,0,0,0,0,"['Increase cooling system power', 'Adjust orientation for passive cooling', 'Adjust antenna position or switch frequency']"
2024-01-02 08:13:42.070249,1,80.84,47.58,81.27,33.89,65.51,39.54,59.07,4.2,45.95,2.02,0,0,0,0,0,0,0,0,0,0,0,[]
2024-01-02 08:34:08.375646,1,30.46,91.49,57.96,97.12,89.79,3.4,97.78,70.48,20.29,1.22,1,0,0,0,1,0,0,0,0,0,0,"['Reroute power to core functions', 'Increase cooling system power']"
